,docid,title,year,genres,languages,countries,directors,composers,cast,editors,keywords,writers,plot
0,000007,"#73, Shanthi Nivasa",2007,Musical,Kannada,India,Sudeep,Bharadwaj (I),"[{'actor': 'Shivarajkumar', 'role': 'Himself'}, {'actor': 'Sudeep', 'role': 'Raghu'}, {'actor': 'Vishnuvardhan (I)', 'role': 'Himself'}]",,,,73 shanthi nivasa littlest thing life give peace happiness home although 73 shanthi nivasa seems everything surface lack depth peace amidst constant family fight raghu enters household new cook brings ingredient peace mysteriously leaf 73 shanthi nivasa without raghu able hold family together without unassuming cook presence 73 shanthi nivasa littlest thing life give peace happiness home although 73 shanthi nivasa seems everything surface lack depth peace amidst constant family fight raghu enters household new cook brings ingredient peace mysteriously leaf 73 shanthi nivasa without raghu able hold family together without unassuming cook presence 73 shanthi nivasa littlest thing life give peace happiness home although 73 shanthi nivasa seems everything surface lack depth peace amidst constant family fight raghu enters household new cook brings ingredient peace mysteriously leaf 73 shanthi nivasa without raghu able hold family together without unassuming cook presence 73 shanthi nivasa littlest thing life give peace happiness home although 73 shanthi nivasa seems everything surface lack depth peace amidst constant family fight raghu enters household new cook brings ingredient peace mysteriously leaf 73 shanthi nivasa without raghu able hold family together without unassuming cook presence 73 shanthi nivasa littlest thing life give peace happiness home although 73 shanthi nivasa seems everything surface lack depth peace amidst constant family fight raghu enters household new cook brings ingredient peace mysteriously leaf 73 shanthi nivasa without raghu able hold family together without unassuming cook presence
1,000009,#Bfl O (ggGX /STwWcfl xZs 4,1963,"['Short', 'Comedy', 'Documentary']",English,USA,"Bulkeley, Richard","Moore, Gene (II)",,"Pearce, Jim","['filmmaking', 'reference-to-bugs-bunny', 'chimpanzee']","Bulkeley, Richard",six sketch featuring offscreen human voice onscreen chimpanzee men clothing illustrating six aspect movie making script writing using camera working darkroom editing art animation shooting scene special attention sound screen go black sketch narration straightforward chimp providing comic contradicting subtexts six sketch featuring offscreen human voice onscreen chimpanzee men clothing illustrating six aspect movie making script writing using camera working darkroom editing art animation shooting scene special attention sound screen go black sketch narration straightforward chimp providing comic contradicting subtexts six sketch featuring offscreen human voice onscreen chimpanzee men clothing illustrating six aspect movie making script writing using camera working darkroom editing art animation shooting scene special attention sound screen go black sketch narration straightforward chimp providing comic contradicting subtexts six sketch featuring offscreen human voice onscreen chimpanzee men clothing illustrating six aspect movie making script writing using camera working darkroom editing art animation shooting scene special attention sound screen go black sketch narration straightforward chimp providing comic contradicting subtexts six sketch featuring offscreen human voice onscreen chimpanzee men clothing illustrating six aspect movie making script writing using camera working darkroom editing art animation shooting scene special attention sound screen go black sketch narration straightforward chimp providing comic contradicting subtexts
2,000011,$,1971,"['Comedy', 'Drama', 'Crime']",English,USA,"Brooks, Richard (I)","Jones, Quincy","[{'actor': 'Armstrong, Darrell (I)', 'role': 'Associated Press'}, {'actor': 'Beatty, Warren', 'role': 'Joe Collins'}, {'actor': 'Blanc, Françoise', 'role': '$ stripper'}, {'actor': 'Brady, Scott (I)', 'role': 'Sarge'}, {'actor': 'Brauss, Arthur', 'role': 'Candy Man'}, {'actor': 'Fröbe, Gert', 'role': 'Mr. Kessel'}, {'actor': 'Hawn, Goldie', 'role': 'Dawn Divine'}, {'actor': 'Herron, Bob (I)', 'role': 'Bodyguard'}, {'actor': 'Hesslein, Horst', 'role': 'Bruno'}, {'actor': 'Hutter, Hans (I)', 'role': 'Karl'}, {'actor': 'Kieling, Wolfgang', 'role': 'Granich'}, {'actor': 'Kuhlman, Wolfgang', 'role': 'Furcoat'}, {'actor': 'Lahman, Kirsten', 'role': 'Customs'}, {'actor': 'Maybach, Christiane', 'role': 'Helga'}, {'actor': 'Platon, Tove', 'role': 'Customs'}, {'actor': 'Schichan, Klaus', 'role': 'Knifeman'}, {'actor': 'Stiles, Robert', 'role': 'Major'}, {'actor': 'Trott, Walt', 'role': 'Stars and Stripes'}, {'actor': 'Webber, Robert (I)', 'role': 'Attorney'}]","Grenville, George","['dollar-sign-in-title', 'bottle', 'striptease', 'evil-lawyer', 'bank-robbery', 'planning', 'robbery', 'vault', 'nightclub', 'drugs', 'bank-manager', 'heist', 'hamburg-germany', 'unlikely-criminal', 'symbol-for-title', 'motor-car-on-floating-ice', 'bank-heist', 'murder', 'copenhagen-denmark', 'heroin-smuggling', 'germany', 'caper-comedy', 'gangster', 'caper', 'heist-movie', 'safe-deposit', 'deposit-box', 'expatriate', 'security-expert', 'drug-smuggling', 'prostitute', 'one-last-job']","Brooks, Richard (I)",several criminal use safe deposit box german bank store large amount illicit cash employee bank learns mean prostitute patronize devise clever plan steal money criminal cant go police try steal money back several criminal use safe deposit box german bank store large amount illicit cash employee bank learns mean prostitute patronize devise clever plan steal money criminal cant go police try steal money back several criminal use safe deposit box german bank store large amount illicit cash employee bank learns mean prostitute patronize devise clever plan steal money criminal cant go police try steal money back several criminal use safe deposit box german bank store large amount illicit cash employee bank learns mean prostitute patronize devise clever plan steal money criminal cant go police try steal money back several criminal use safe deposit box german bank store large amount illicit cash employee bank learns mean prostitute patronize devise clever plan steal money criminal cant go police try steal money back
3,000012,$#!+ Happens,2008,"['Short', 'Comedy']",English,USA,"Ng, Joseph W.",,"[{'actor': 'Hodges, Daniel E.', 'role': ""Oliver 'Ollie' Akaram""}, {'actor': 'Wilhelm, Ashley', 'role': 'Security Guard'}]","Ng, Joseph W.","['security-guard', 'terrorism', 'food-poisoning', 'exam', 'student', 'toilet-humor', 'university', 'cramming', 'pain-in-stomach', 'true-story', 'college', 'mistaken-identity', 'campus']","Ng, Joseph W.",young man impending midterm exam becomes least worry trip restroom turn full inquisition seemingly innocent harmless remark read serious sinister connotation light society new status quo young man impending midterm exam becomes least worry trip restroom turn full inquisition seemingly innocent harmless remark read serious sinister connotation light society new status quo young man impending midterm exam becomes least worry trip restroom turn full inquisition seemingly innocent harmless remark read serious sinister connotation light society new status quo young man impending midterm exam becomes least worry trip restroom turn full inquisition seemingly innocent harmless remark read serious sinister connotation light society new status quo young man impending midterm exam becomes least worry trip restroom turn full inquisition seemingly innocent harmless remark read serious sinister connotation light society new status quo
4,000016,"$1,000,000 Chance of a Lifetime",1986,Game-Show,English,USA,,,"[{'actor': 'Gilbert, Johnny (I)', 'role': 'Announcer'}, {'actor': 'Lange, Jim', 'role': 'Host'}, {'actor': 'Summers, Marc', 'role': 'Announcer'}]",,"['trivia', 'number-in-title', 'quiz-show', 'non-fiction']",,shortlived quiz show hosted tv veteran jim lange husbandandwife team would compete answering tough series trivia question winning couple would go championship round would chance win one million dollar shortlived quiz show hosted tv veteran jim lange husbandandwife team would compete answering tough series trivia question winning couple would go championship round would chance win one million dollar shortlived quiz show hosted tv veteran jim lange husbandandwife team would compete answering tough series trivia question winning couple would go championship round would chance win one million dollar shortlived quiz show hosted tv veteran jim lange husbandandwife team would compete answering tough series trivia question winning couple would go championship round would chance win one million dollar shortlived quiz show hosted tv veteran jim lange husbandandwife team would compete answering tough series trivia question winning couple would go championship round would chance win one million dollar
5,000018,$1.17,2007,"['Short', 'Drama']",,USA,"Berglove, Joe",,"{'actor': 'Douda, Nate', 'role': 'Himself'}",,"['coming-of-age', 'supernatural', 'spiritual', 'magical-realism']","Douda, Dennis (III)",sometimes thought count young willie walker top world get ready day day bad everyone else forgot everyone old farm house anyway still receives birthday gift lifetime loving heart longer beat sometimes thought count young willie walker top world get ready day day bad everyone else forgot everyone old farm house anyway still receives birthday gift lifetime loving heart longer beat sometimes thought count young willie walker top world get ready day day bad everyone else forgot everyone old farm house anyway still receives birthday gift lifetime loving heart longer beat sometimes thought count young willie walker top world get ready day day bad everyone else forgot everyone old farm house anyway still receives birthday gift lifetime loving heart longer beat sometimes thought count young willie walker top world get ready day day bad everyone else forgot everyone old farm house anyway still receives birthday gift lifetime loving heart longer beat
6,000023,"$100,000 Name That Tune",1984,"['Music', 'Game-Show']",English,USA,"Walton, Kip",,"[{'actor': 'Harlan, John', 'role': 'Announcer'}, {'actor': 'Lange, Jim', 'role': 'Host'}, {'actor': 'Oliver, Tommy (I)', 'role': 'Orchestra Leader'}]",,"['number-in-title', 'non-fiction']",,updated version popular longrunning quiz show hosted jim lange two contestant compete see greater knowledge popular song music play first contestant name song win money prize additional challenge include contestant bidding note need order name tune updated version popular longrunning quiz show hosted jim lange two contestant compete see greater knowledge popular song music play first contestant name song win money prize additional challenge include contestant bidding note need order name tune updated version popular longrunning quiz show hosted jim lange two contestant compete see greater knowledge popular song music play first contestant name song win money prize additional challenge include contestant bidding note need order name tune updated version popular longrunning quiz show hosted jim lange two contestant compete see greater knowledge popular song music play first contestant name song win money prize additional challenge include contestant bidding note need order name tune updated version popular longrunning quiz show hosted jim lange two contestant compete see greater knowledge popular song music play first contestant name song win money prize additional challenge include contestant bidding note need order name tune
7,000030,$25 Million Dollar Hoax,2004,Reality-TV,English,USA,,,"[{'actor': 'Bass, Lance', 'role': 'Himself'}, {'actor': 'Gray, George (IV)', 'role': 'Host/Narrator'}, {'actor': 'McMahon, Ed (I)', 'role': 'Himself'}]","['Anido, Vince', 'Ghaman, Roger']","['lottery', 'family-relationships', 'selfishness', 'number-in-title', 'prank']",,threeepisode reality series woman convince family lottery money turned nice girl selfish shopaholic prank successful family really win large prize fails family get nothing threeepisode reality series woman convince family lottery money turned nice girl selfish shopaholic prank successful family really win large prize fails family get nothing
8,000031,"$25,000 Clean Up on No. 16, Eldorado",1903,"['Short', 'Documentary']",,USA,,,,,number-in-title,,show final washing gold one richest claim klondike coarse gold nugget placed pan ready weighing four year owner professor lippy received 5000000 claim show final washing gold one richest claim klondike coarse gold nugget placed pan ready weighing four year owner professor lippy received 5000000 claim
9,000035,"$35,000 Clean-Up on Eldorado No. 10",1903,"['Short', 'Documentary']",,USA,,,,,number-in-title,,show process saving gold water turned simple consists lifting riffleboards scooping gold ordinary coal shovel shown two great pan full gold piled view plentiful 1000 15000 nugget handled men picture enough arouse envy heart stone image show process saving gold water turned simple consists lifting riffleboards scooping gold ordinary coal shovel shown two great pan full gold piled view plentiful 1000 15000 nugget handled men picture enough arouse envy heart stone image
